Spring,2026
Spring2026,S26
Class Room,https://docs.google.com/spreadsheets/d/1iCppLD-GrI1XOp_niPmB_0MLwoju698PmvUiEvvGEYM/edit?usp=drivesdk
Faculty Contact,https://docs.google.com/spreadsheets/d/1SuEMkbHknElA7RJfCzr-w8vM-qm1KDf2hFbF_KtAGgY/edit?gid=0#gid=0
Per Course Data,https://docs.google.com/spreadsheets/d/1x4fOaAU5IIzLVLzBAHYePA8IgFfhTQq_4HKEnLNDRNc/edit?usp=drivesdk
Routine Manager,https://docs.google.com/spreadsheets/d/1r2y83rVfaPr4LyN9DKL0EzpyDW1O70pr54trowPl9Cc/edit?gid=1424409450#gid=1424409450
Proxy/Meta,https://docs.google.com/spreadsheets/d/18taRSsF79DxwpFdJF-X88hBWUI5brOA1ODZwl5m02as/edit?usp=drivesdk
Load File,https://docs.google.com/spreadsheets/d/1F82n5dmwfad3GXrmrLoAH7mJy83fSxCmdDEfA0nbn1o/edit?usp=drivesdk
EEE File,
Routine View,https://docs.google.com/spreadsheets/d/1iPrUDgZ4Ayf1xU-mcmYLk1YqnSD-2Y0zhPQaAGZIJc0/edit?usp=drivesdk
Faculty Stats,https://docs.google.com/spreadsheets/d/1fqVW09z3yx0_mBz4hByag55wEEknTUFSA40qusygFDQ/edit?usp=drivesdk
Faculty Routine,https://docs.google.com/spreadsheets/d/1kFB8emrTBqWDf_NPXYzunXZ-UvgbtwCPUKNVeXZiolY/edit?usp=sharing
Central OBE,
OBE Gradesheet Manager,
Distribution Files,https://drive.google.com/drive/folders/1XDgy1uhT1E3jiUtsQHiUxRHADGVHjuS6
Exams,https://drive.google.com/drive/folders/1rwa8-dbqfD1LR-4nAHY5HNJpnMhQ1apP
Free Slot Finder,https://drive.google.com/drive/folders/1kkrYmW_cKCgVnpcBcWoI-KiF3FY2GZ7v
Per Day Data,https://docs.google.com/spreadsheets/d/1gMDa9KMbcy6Kht9rZ0WzW1s7OJPHAkY1Ji6Ei7h9Hsg/edit?usp=drivesdk
Room Utilization,https://docs.google.com/spreadsheets/d/1Jjhkc6aJi31bLM5_yKHtFYFPrD7LoHHCPtgGCEKMYyE/edit?usp=drivesdk
Cross Checker,
