Summer,2026,,,,,,,,,
Summer2026,M26,,,,,,07D-19C,6,07D-19C,"['07D-19C'],['07D-20C'],['07F-22C'],['07H-26C'],['07H-27C'],['08H-22C'],['09A-01C'],['09A-02C'],['09A-03C'],['09A-04C'],['09A-05C'],['09A-06C'],['09A-07C'],['09B-12C'],['09C-13C'],['09D-17C'],['09D-18C'],['09H-32C'],['09H-33C'],['09H-34C'],['09H-35C'],['10A-04C'],['10A-05C'],['10A-10C'],['10B-13C'],['10B-15C'],['10B-16C'],['10B-17C'],['09C-16T'],['09E-20T'],['09G-31T']"
Class Room,https://docs.google.com/spreadsheets/d/1YaR83eYylTXSU8VLpmbbVFknzp6VyzRWnxO1GyhwBJM/edit?usp=drivesdk,1YaR83eYylTXSU8VLpmbbVFknzp6VyzRWnxO1GyhwBJM,,0,,,07D-20C,6,07D-20C,
Faculty Contact,https://docs.google.com/spreadsheets/d/1SuEMkbHknElA7RJfCzr-w8vM-qm1KDf2hFbF_KtAGgY/edit?gid=0#gid=0,,,1,,,07F-22C,6,07F-22C,
Per Course Data,https://docs.google.com/spreadsheets/d/1PUEs5z2o_AEtKiH2TjEt4Mwmd50uDo2sw71UegXxpuk/edit?usp=drivesdk,1PUEs5z2o_AEtKiH2TjEt4Mwmd50uDo2sw71UegXxpuk,,2,,,07H-26C,6,07H-26C,
Routine Manager,https://docs.google.com/spreadsheets/d/1r2y83rVfaPr4LyN9DKL0EzpyDW1O70pr54trowPl9Cc/edit?gid=1424409450#gid=1424409450,,,3,,,07H-27C,6,07H-27C,
Proxy/Meta,https://docs.google.com/spreadsheets/d/1t3DxMAsLfJUGshl5N43mi2tedMKbyx_rCDutUMMNnYE/edit?usp=drivesdk,1t3DxMAsLfJUGshl5N43mi2tedMKbyx_rCDutUMMNnYE,,4,,,08H-22C,6,08H-22C,
Load File,https://docs.google.com/spreadsheets/d/1AuBTtXlVfoFk7geWYtck30zI4w8iidtoj_14Q_9FgKM/edit?usp=drivesdk,1AuBTtXlVfoFk7geWYtck30zI4w8iidtoj_14Q_9FgKM,,5,,,09A-01C,6,09A-01C,
EEE File,,,,6,,,09A-02C,6,09A-02C,
Routine View,https://docs.google.com/spreadsheets/d/1fBmRFwlaGmlgdskCzdJOpa2t9c7Ce4rpbJn6uKKXgLM/edit?usp=drivesdk,1fBmRFwlaGmlgdskCzdJOpa2t9c7Ce4rpbJn6uKKXgLM,,7,,,09A-03C,6,09A-03C,
Faculty Stats,https://docs.google.com/spreadsheets/d/1d4Dx8cctlUxpMbdHs2OQXpvWatCB_jlIxaLkv_9Y_as/edit?usp=drivesdk,1d4Dx8cctlUxpMbdHs2OQXpvWatCB_jlIxaLkv_9Y_as,,8,,,09A-04C,6,09A-04C,
