"For Program: CSE
Click here to view CS",,,,,,,,
"HP - Hard Prequisite: Must complete this prerequisite before doing current course

SP - Soft Prerequisite: It's suggested/recommended you complete this course before taking current course. However, you can choose to not do this prequisite. Up to you",,,,,,,,
Course,Pre-Requisite,Full Chain Pre-Requisite,,,,,,
CSE111,CSE110 (HP),,CSE110 (HP),,,"('CSE110', 'CSE111'),",,
CSE220,"CSE111 (HP),CSE230 (HP)",CSE230-CSE111-CSE110,CSE111 (HP),CSE230 (HP),,"('CSE111', 'CSE220'),","('CSE230', 'CSE220'),",
CSE221,CSE220 (HP),CSE220-CSE111-CSE110,CSE220 (HP),,,"('CSE220', 'CSE221'),",,
CSE250,PHY112 (SP),,PHY112 (SP),,,"('PHY112', 'CSE250'),",,
CSE251,CSE250 (HP),CSE250,CSE250 (HP),,,"('CSE250', 'CSE251'),",,
CSE260,CSE251 (HP),CSE251-CSE250,CSE251 (HP),,,"('CSE251', 'CSE260'),",,
CSE310,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110,CSE370 (HP),,,"('CSE370', 'CSE310'),",,
CSE321,CSE221 (HP),CSE221-CSE220-CSE111-CSE110,CSE221 (HP),,,"('CSE221', 'CSE321'),",,
CSE330,MAT216 (HP),MAT120-MAT110,MAT216 (HP),,,"('MAT216', 'CSE330'),",,
CSE331,CSE221 (HP),CSE221-CSE220-CSE111-CSE110,CSE221 (HP),,,"('CSE221', 'CSE331'),",,
CSE340,CSE260 (HP),CSE260-CSE251-CSE250,CSE260 (HP),,,"('CSE260', 'CSE340'),",,
CSE341,"CSE260 (HP), CSE340 (SP),CSE321 (SP)",,CSE260 (HP), CSE340 (SP),CSE321 (SP),"('CSE260', 'CSE341'),","(' CSE34', 'CSE341'),","('CSE321', 'CSE341'),"
CSE350,CSE251 (HP),CSE251-CSE250,CSE251 (HP),,,"('CSE251', 'CSE350'),",,
CSE360,CSE341 (HP),CSE341,CSE341 (HP),,,"('CSE341', 'CSE360'),",,
CSE370,CSE221 (HP),CSE221-CSE220-CSE111-CSE110,CSE221 (HP),,,"('CSE221', 'CSE370'),",,
CSE391,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110,CSE370 (HP),,,"('CSE370', 'CSE391'),",,
CSE392,MAT215 (HP),,MAT215 (HP),,,"('MAT215', 'CSE392'),",,
CSE410,CSE321 (HP),CSE321-CSE221-CSE220-CSE111-CSE110,CSE321 (HP),,,"('CSE321', 'CSE410'),",,
CSE420,"CSE321 (HP),CSE331 (HP),CSE340 (HP)",CSE321-CSE331-CSE340-CSE221-CSE220-CSE111-CSE110,CSE321 (HP),CSE331 (HP),CSE340 (HP),"('CSE321', 'CSE420'),","('CSE331', 'CSE420'),","('CSE340', 'CSE420'),"
CSE421,CSE320 (SP),,CSE320 (SP),,,"('CSE320', 'CSE421'),",,
CSE422,CSE221 (HP),CSE221-CSE220-CSE111-CSE110,CSE221 (HP),,,"('CSE221', 'CSE422'),",,
CSE423,MAT216 (HP),MAT216-MAT120-MAT110,MAT216 (HP),,,"('MAT216', 'CSE423'),",,
CSE430,MAT120 (HP),MAT120-MAT110,MAT120 (HP),,,"('MAT120', 'CSE430'),",,
CSE460,CSE260 (HP),CSE260-CSE251-CSE250,CSE260 (HP),,,"('CSE260', 'CSE460'),",,
CSE461,CSE260 (HP),CSE260-CSE251-CSE250,CSE260 (HP),,,"('CSE260', 'CSE461'),",,
CSE470,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110,CSE370 (HP),,,"('CSE370', 'CSE470'),",,
CSE471,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110,CSE370 (HP),,,"('CSE370', 'CSE471'),",,
CSE489,CSE370 (HP),CSE370-CSE221-CSE220-CSE111-CSE110,CSE370 (HP),,,"('CSE370', 'CSE489'),",,
ENG102,ENG101 (HP),ENG101,ENG101 (HP),,,"('ENG101', 'ENG102'),",,
ENG103,ENG102 (HP),ENG102,ENG102 (HP),,,"('ENG102', 'ENG103'),",,
MAT120,MAT110 (HP),MAT110,MAT110 (HP),,,"('MAT110', 'MAT120'),",,
MAT215,MAT216 (HP),MAT216-MAT120-MAT110,MAT216 (HP),,,"('MAT216', 'MAT215'),",,
MAT216,MAT120 (HP),MAT120-MAT110,MAT120 (HP),,,"('MAT120', 'MAT216'),",,
PHY112,PHY111 (HP),PHY111,PHY111 (HP),,,"('PHY111', 'PHY112'),",,
,,,#VALUE!,,,"('CSE230', 'CSE220'),",,
,,,#VALUE!,,,"(' CSE34', 'CSE341'),",,
,,,#VALUE!,,,"('CSE331', 'CSE420'),",,
,,,#VALUE!,,,"('CSE340', 'CSE420'),",,
,,,#VALUE!,,,"('CSE321', 'CSE341'),",,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
,,,#VALUE!,,,,,
