Code,Department,Title,Theory Equivalent,Lab Equivalent,Type,Theory Platform,Lab Platform,Has Lab,Lab Credit,HasFinal?,Level,Student Tutor,Capacity,,
CSE101,CSE,Introduction to Computer Science,,,Other,,,Yes,1.5,,UG,,38,COD,CAMPUS
CSE103,CSE,Introduction to Computing (ARC),,,Other,,,Yes,1.5,,UG,,38,GED,ONLINE
CSE110,CSE,Programming Language I,,,Program Core,,,Yes,1.5,,UG,Yes,38,Program Core,RS
CSE111,CSE,Programming Language II,,,Program Core,,,Yes,1.5,,UG,Yes,38,Program Elective,
CSE220,CSE,Data Structures,,,Program Core,,,Yes,1.5,,UG,Yes,38,Pre-University,
CSE221,CSE,Algorithms,,,Program Core,,,Yes,1.5,,UG,Yes,38,Minor,
CSE230,CSE,Discrete Mathematics,,,Program Core,,,,,,UG,Yes,38,Other,
CSE250,CSE,Circuits and Electronics,,,Program Core,,,Yes,1.5,,UG,Yes,21,,
CSE251,CSE,Electronic Devices and Circuits,,,Program Core,,,Yes,1.5,,UG,Yes,21,,
CSE260,CSE,Digital Logic Design,,,Program Core,,,Yes,1.5,,UG,Yes,21,,
CSE310,CSE,Object Oriented Programming,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE320,CSE,Data Communications,EEE361,EEE362,Program Core,,,,,,UG,,38,,
CSE321,CSE,Operating Systems,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE330,CSE,Numerical Methods,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE331,CSE,Automata and Computability,,,Program Core,,,,,,UG,,38,,
CSE340,CSE,Computer Architecture,EEE410,,Program Core,,,,,,UG,,38,,
CSE341,CSE,Microprocessors,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE350,CSE,Digital Electronics and Pulse Techniques,,,Program Core,,,Yes,1.5,,UG,,21,,
CSE360,CSE,Computer Interfacing,,,Program Core,,,Yes,0.75,,UG,,38,,
CSE370,CSE,Database Systems,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE390,CSE,Technical Communication,,,Program Elective,,,,,,UG,,38,,
CSE391,CSE,Programming for the Internet,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE392,CSE,Signal and Systems,,,Program Elective,,,,,,UG,,38,,
CSE402,CSE,Optimization,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE419,CSE,Programming Languages,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE420,CSE,Compiler Design,,,Program Core,,,Yes,0.75,,UG,,38,,
CSE421,CSE,Computer Networks,EEE465,EEE466,Program Core,,,Yes,0.75,,UG,,38,,
CSE422,CSE,Artificial Intelligence,EEE472,,Program Core,,,Yes,1.5,,UG,,38,,
CSE423,CSE,Computer Graphics,,,Program Core,,,Yes,0.75,,UG,,38,,
CSE424,CSE,Pattern Recognition,,,Program Elective,,,Yes,0.75,,UG,Yes,38,,
CSE425,CSE,Neural Networks,EEE474,,Program Elective,,,,,,UG,,38,,
CSE426,CSE,Advance Algorithms,,,Program Elective,,,,,,UG,,38,,
CSE427,CSE,Machine Learning,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE428,CSE,Image Processing,EEE476,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE430,CSE,Digital Signal Processing,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE431,CSE,Natural Language Processing,,,Program Elective,,,,,,UG,,38,,
CSE437,CSE,Data Science: Coding with Real World Data,,,Program Elective,,,,,,UG,,38,,
CSE438,CSE,Applied Data Science for Practitioners,,,Program Elective,,,,,,UG,,38,,
CSE439,CSE,Machine Vision,,,Program Elective,,,,,,UG,,38,,
CSE440,CSE,Natural Language Processing II,,,Program Elective,,,Yes,0.75,,UG,,38,,
CSE442,CSE,Natural Language Driven UI/UX,,,Program Elective,,,,,,UG,,38,,
CSE443,CSE,Bioinformatics I,,,Program Elective,,,,,,UG,,38,,
CSE446,CSE,Blockchain and Cryptocurrencies,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE447,CSE,Cryptography and Cryptanalysis,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE449,CSE,"Parallel, Distributed and High-Performance Computing (HPC)",,,Program Elective,,,,,,UG,,38,,
CSE450,CSE,Advanced Competitive Programming,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE457,CSE,Randomized Algorithms,,,Program Elective,,,,,,UG,,38,,
CSE460,CSE,VLSI Design,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE461,CSE,Introduction to Robotics,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE463,CSE,Computer Vision: Fundamentals and Applications,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE470,CSE,Software Engineering,,,Program Core,,,,,,UG,,38,,
CSE471,CSE,System Analysis and Design,,,Program Core,,,Yes,1.5,,UG,,38,,
CSE472,CSE,Human Computer Interface,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE474,CSE,Simulation and Modeling,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE481,CSE,Quantum Computing I,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE482,CSE,Quantum Computing II,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE484,CSE,Cloud Computing,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE489,CSE,Android App Development,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE490,CSE,Quantum Computing III,,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE495,CSE,Internet of Things (IoT),CSE705,,Program Elective,,,Yes,1.5,,UG,,38,,
CSE496,CSE,Ethical Hacking,,,Program Elective,,,,,,UG,,38,,
CSE705,CSE,Computer Communication and Networks,CSE495,,,,,,,,PG,,38,,
CSE706,CSE,Parallel Algorithms,,,,,,,,,PG,,38,,
CSE707,CSE,Distributed Computing Systems,,,,,,,,,PG,,38,,
CSE708,CSE,Graph Theory,,,Program Core,,,,,,PG,,38,,
CSE710,CSE,Advanced Artificial Intelligence,,,Program Core,,,,,,PG,,38,,
CSE711,CSE,Symbolic Machine Learning I,,,,,,,,,PG,,38,,
CSE712,CSE,Symbolic Machine Learning II,,,Program Core,,,,,,PG,,38,,
CSE713,CSE,Advanced Syntactic Pattern Recognition,,,Program Core,,,,,,PG,,38,,
CSE714,CSE,Speech Recognition,,,Program Core,,,,,,PG,,38,,
CSE715,CSE,Neural Network and Fuzzy Systems,,,Program Core,,,,,,PG,,38,,
CSE716,CSE,Advanced Database Sytems,,,Program Core,,,,,,PG,,38,,
CSE717,CSE,Mathematical Programming,,,,,,,,,PG,,38,,
CSE718,CSE,Petri Net Theory and Modeling of Systems,,,,,,,,,PG,,38,,
CSE719,CSE,Multimedia Systems,,,,,,,,,PG,,38,,
CSE720,CSE,Computer Graphics and Animation,,,,,,,,,PG,,38,,
CSE799A,CSE,,,,,,,,3,,PG,,38,,
CSE799,CSE,Special Course: Decision Support Systems,,,Program Core,,,,,,UG,,38,,
ECE361,CSE,Data Communications,CSE320,,,,,,,,UG,,38,,
ECE362,CSE,Data Communications Laboratory,,CSE320,,,,,1.5,,UG,,38,,
EEE361,CSE,Data Communications,CSE320,,,,,,,,UG,,38,,
EEE362,CSE,Data Communications Laboratory,,CSE320,,,,,1.5,,UG,,38,,
EEE410,CSE,Computer Architecture,CSE340,,,,,,,,UG,,38,,
EEE465,CSE,Computer Networks,CSE421,,,,,,,,UG,,38,,
EEE466,CSE,Computer Networks Laboratory,,CSE421,,,,,,,UG,,38,,
EEE472,CSE,Artificial Intelligence,CSE422,,,,,,,,UG,,38,,
EEE474,CSE,Neural Networks,CSE425,,,,,,,,UG,,38,,
EEE476,CSE,Image Processing,CSE428,,,,,,,,UG,,38,,
MAT091,MNS,Basic Course in Mathematics,,,,,,,,,UG,,38,,
MAT092,MNS,Remedial Course in Mathematics,,,,,,,,,UG,,38,,
MAT101,MNS,,,,,,,,,,UG,,38,,
MAT110,MNS,Mathematics I: Differential Calculus & Coordinate Geometry,,,,,,,,,UG,,38,,
MAT120,MNS,Mathematics II: Integral Calculus & Differential Equations,,,,,,,,,UG,,38,,
MAT215,MNS,Mathematics III: Complex Variables & Laplace Transformations,,,,,,,,,UG,,38,,
MAT216,MNS,Mathematics IV: Linear Algebra & Fourier Analysis,,,,,,,,,UG,,38,,
PHY111,MNS,Principles of Physics I,,,,,,Yes,,,UG,,38,,
PHY112,MNS,Principles of Physics II,,,,,,Yes,,,UG,,38,,
PHY115,MNS,Electricity and Magnetism,,,,,,,,,UG,,38,,
STA101,MNS,Introduction to Statistics,,,,,,,,,UG,,38,,
STA201,MNS,Elements of Statistics & Probability,,,,,,,,,UG,,38,,
STA301,MNS,Modern Probability Theory & Stochastic Processes,,,,,,,,,UG,,38,,
PHY115,MNS,Electricity and Magnetism,,,,,,,,,UG,,38,,
PHY301,MNS,Classical Electrodynamics,,,,,,,,,UG,,38,,
